"","X","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung"
"31",31,"E30254010000000000005230789401733","ENERCON GmbH","E-66",1800,"27.07.2004",7335033,49.556707,7.65823,65,66,733510033,67737,"Olsbrücken","Gemarkung Olsbrücken, Flurst. 1409","1800",2004-07-27,2073177,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2073,8075,390,2343.1808
"32",32,"E30254010000000000005230789401734","ENERCON GmbH","E-66/20.70",2000,"03.12.2004",7332009,49.577773,7.729247,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen, Flurst. 749","2000",2005-03-24,2554238,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2554,8075,316,2155.3984
"33",33,"E30254010000000000005230789401735","ENERCON GmbH","E 66/20.70",2000,"30.11.2004",7332009,49.576873,7.731607,98,77,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 749","2000",2005-03-24,2554238,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2554,8075,316,2155.3984
"34",34,"E30254010000000000005230789401736","ENERCON GmbH","E-66/20.70",2000,"24.03.2005",7332009,49.584024,7.731049,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 721","2000",2004-11-30,2554238,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2554,8075,316,2155.3984
"35",35,"E30254010000000000005230789401737","ENERCON GmbH","E-66/20.70",2000,"24.03.2005",7332009,49.585967,7.731109,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 3791","2000",2004-12-02,2554238,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2554,8075,316,2155.3984
"36",36,"E30254010000000000005230789401738","ENERCON GmbH","E-70-E4",2000,"07.04.2006",7332009,49.584602,7.720648,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen, Flurst. 3784","2000",2006-03-22,2882998,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2883,8075,280,2026.9568
"37",37,"E30254010000000000005230789401739","ENERCON GmbH","E70-E4",2000,"17.05.2006",7332009,49.583218,7.723228,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 744","2000",2006-05-08,2882998,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2883,8075,280,2026.9568
"38",38,"E30254010000000000005230789401740","ENERCON GmbH","E-70-E4",2000,"30.03.2006",7332009,49.588547,7.720517,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 771","2000",2006-03-30,2882998,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2883,8075,280,2026.9568
"39",39,"E30254010000000000005230789401741","ENERCON GmbH","E-70-E4",2000,"22.03.2006",7332009,49.586589,7.720637,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen-Heimkirchen, Flurst. 3773","2000",2006-05-18,2882998,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2883,8075,280,2026.9568
"40",40,"E30254010000000000005230789401742","ENERCON GmbH","E70-E4",2000,"08.05.2006",7332009,49.587505,7.724652,98,70,733510029,67700,"Niederkirchen","Gemarkung Niederkirchen, Flurst. 734","2000",2006-05-24,2882998,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,2883,8075,280,2026.9568
