"","adress","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung","lat_wgs84","lon_wgs84"
"153","Haßloch 67454 Germany","E30254010000000000005230790306701","Fuhrländer AG","FL MD77",1500,"22.12.2005",7316000,49.381927,8.268697,100,77,733200025,67454,"Haßloch","Gemarkung Haßloch Außerhalb, Flurst. 13676/1","1500","2005-12-16",2143096,7332,"Bad Dürkheim",733200,"vfr Bad Dürkheim",2075,2143,7055,329,1917.6448,49.3818851998222,8.26851501493745
"154","Haßloch 67454 Germany","E30254010000000000005230790301752","Fuhrländer AG","FL MD77",1500,"22.12.2005",7316000,49.386136,8.270259,100,77,733200025,67454,"Haßloch","Gemarkung Haßloch Außerhalb, Flurst. 13629","1500","2005-12-23",2143091,7332,"Bad Dürkheim",733200,"vfr Bad Dürkheim",2075,2143,7055,329,1917.6448,49.3863217981919,8.27021418382695
"155","Heidenburg 54426 Germany","E31238010000010170000007159000626",NA,NA,NA,NA,NA,NA,NA,NA,NA,723106204,54426,"Heidenburg","Auf Botteldorn 900Z / 47","1500","2001-03-06",1745764,7231,"Bernkastel-Wittlich",723106,"Thalfang am Erbeskopf",2550,1746,8670,497,2703.1296,49.7985960261845,6.91900542177256
"156","Heilenbach 54636 Germany","E31238010000000000000060638000677","Vestas Deutschland GmbH","V80",2000,"05.03.2005",7232048,50.051398,6.474987,100,85,723208048,54636,"Heilenbach","Mötsche Str. 42Z / 53","2000","2005-03-05",2166963,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,2167,6375,294,1642.8032,50.0514784008273,6.47497587798972
"157","Heilenbach 54636 Germany","E31238010000000000000060638018544","Vestas Deutschland GmbH","V80",2000,"31.12.2004",7232048,50.057373,6.46837,100,85,723208048,54636,"Heilenbach","Mötsche Str. 42Z / 18","2000","2004-12-31",2051869,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,2052,6375,311,1687.6992,50.0571909025779,6.46851333228143
"158","Heilenbach 54636 Germany","E31238010000000000000060638018545","Vestas Deutschland GmbH","V80",2000,"26.01.2005",7232048,50.055874,6.472498,100,85,723208048,54636,"Heilenbach","Mötsche Str. 42Z / 16","2000","2005-01-26",1783304,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,1783,6375,358,1792.7168,50.0557206677225,6.47253332407787
"159","Heilenbach 54636 Germany","E31238010000000000000060638014133","Vestas Deutschland GmbH","V80",2000,"03.02.2005",7232048,50.054268,6.46739,100,85,723208048,54636,"Heilenbach","Mötsche Str. 42Z / 9","2000","2005-02-03",1511661,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,1512,6375,422,1898.5152,50.0541952763664,6.46748704405945
"160","Heilenbach 54636 Germany","E31238010000020170000006822801191",NA,NA,NA,NA,NA,NA,NA,NA,NA,723208048,54636,"Heilenbach","An der K 75","510","1997-06-10",509502,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,510,6375,1250,2289.696,50.0645981792165,6.46485526526659
"161","Heilenbach 54636 Germany","E31238010000000000000060638018546","Vestas Deutschland GmbH","V80",2000,"31.12.2004",7232048,50.060706,6.469544,100,85,723208048,54636,"Heilenbach","Mötsche Str. 42Z / 39","2000","2004-12-31",2162913,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,2163,6375,295,1644.3648,50.0608113412089,6.46943118359442
"162","Heilenbach 54636 Germany","E31238010000000000000060638018548","Vestas Deutschland GmbH","V80",2000,"31.12.2004",7232048,50.064227,6.474845,100,80,723208048,54636,"Heilenbach","Mötsche Str. 42Z / 35","2000","2004-12-31",1834775,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,1835,6375,347,1772.416,50.0643886872853,6.4748200531774
"163","Heilenbach 54636 Germany","E31238010000000000000060638009839","Vestas Deutschland GmbH","V80",2000,"01.03.2005",7232048,50.053553,6.473757,100,85,723208048,54636,"Heilenbach","Mötsche Str. 42Z / 21","2000","2005-03-01",1697045,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,1697,6375,376,1826.2912,50.0537400074267,6.47378380834476
"164","Herl 54317 Germany","E3123801V000000000000004229008778","ENERCON GmbH","E-70 E4",2000,"24.12.2004",7235044,49.749726,6.86983,85,70,723504044,54317,"Herl","Bergstr. 1 / 29","2000","2004-12-24",2809452,7235,"Trier-Saarburg",723504,"Ruwer",2675,2809,9095,324,2454.0544,49.749912502492,6.86966584281104
"165","Herl 54317 Germany","E3123801V000000000000004229018712","ENERCON GmbH","E-70 E4",2000,"30.12.2004",7235044,49.747031,6.870539,85,70,723504044,54317,"Herl","Bergstr. 1 / 15","2000","2004-12-30",2809452,7235,"Trier-Saarburg",723504,"Ruwer",2675,2809,9095,324,2454.0544,49.7471286800082,6.87039994457954
"166","Herl 54317 Germany","E3123801V000000000000004229018713","ENERCON GmbH","E-70 E4",2000,"11.02.2005",7235044,49.744398,6.870248,85,70,723504044,54317,"Herl","Bergstraße  / 2","2000","2005-02-11",2809452,7235,"Trier-Saarburg",723504,"Ruwer",2675,2809,9095,324,2454.0544,49.7444374456839,6.87037421132098
"167","Herl 54317 Germany","E3123801V000000000000004229018714","ENERCON GmbH","E-70 E4",2000,"11.04.2005",7235044,49.763008,6.845557,113.5,70,723504044,54317,"Herl","Bergstraße 0","2000","2005-04-11",3070915,7235,"Trier-Saarburg",723504,"Ruwer",2675,3071,9095,296,2351.7696,49.7628269924683,6.8456927944129
"168","Herl 54317 Germany","E3123801V000000000000004229018715","ENERCON GmbH","E-70 E4",2000,"17.06.2005",7235044,49.761096,6.847882,113.5,70,723504044,54317,"Herl","Bergstraße 0","2000","2005-06-17",3070915,7235,"Trier-Saarburg",723504,"Ruwer",2675,3071,9095,296,2351.7696,49.7612131500833,6.84771719976819
"169","Herl 54317 Germany","E3123801V000000000000004229018716","ENERCON GmbH","E-70 E4",2000,"22.06.2005",7235044,49.758675,6.846453,113.5,70,723504044,54317,"Herl","Bergstraße  / 38","2000","2005-06-22",3070915,7235,"Trier-Saarburg",723504,"Ruwer",2675,3071,9095,296,2351.7696,49.7585144030745,6.8464961056221
"170","Herl 54317 Germany","E3123801V000000000000004229018720","ENERCON GmbH","E-70 E4",2000,"07.07.2005",7235044,49.754719,6.872969,85,70,723504044,54317,"Herl","Bergstr. 1","2000","2005-07-07",2809452,7235,"Trier-Saarburg",723504,"Ruwer",2675,2809,9095,324,2454.0544,49.7548760281846,6.87311686246931
"171","Herl 54317 Germany","E3123801V000000000000004229050945","ENERCON GmbH","E-70 E4",2000,"11.07.2005",7235044,49.749395,6.87474,85,70,723504044,54317,"Herl","Bergstr. 1","2000","2005-07-11",2809452,7235,"Trier-Saarburg",723504,"Ruwer",2675,2809,9095,324,2454.0544,49.749527264992,6.8748012728484
"172","Herxheimweyher 76863 Germany","E30254010000000000005230789807055","Fuhrländer AG","FL MD 77",1500,"27.09.2005",7337039,49.167872,8.247555,100,77,733704039,76863,"Herxheimweyher","Herxheimweyher Domsängerei","1500","2005-10-01",2411405,7337,"Südliche Weinstraße",733704,"Herxheim",2515,2411,8551,355,2397.056,49.1677573040057,8.24745786179204
"173","Herxheimweyher 76863 Germany","E30254010000000000005230789801747","Fuhrländer AG","FL MD 77",1500,"10.10.2005",7337039,49.165615,8.25461,100,77,733704039,76863,"Herxheimweyher","Herxheimweyher Domsängerei","1500","2005-10-10",2411405,7337,"Südliche Weinstraße",733704,"Herxheim",2515,2411,8551,355,2397.056,49.1654850707384,8.25459837059857
"174","Herxheimweyher 76863 Germany","E30254010000000000005230789801746","Fuhrländer AG","FL MD 77",1500,"30.09.2005",7337039,49.168084,8.251131,100,77,733704039,76863,"Herxheimweyher","Herxheimweyher Domsängerei","1500","2005-10-01",2411405,7337,"Südliche Weinstraße",733704,"Herxheim",2515,2411,8551,355,2397.056,49.1680766094849,8.25113019186104
"175","Heuchelheim 67259 Germany","E30254015000000000005231616306700","ENERCON GmbH","E-48",800,"03.02.2005",7338013,49.583,8.29124,76,48,733806013,67259,"Heuchelheim","Gemarkung Großniedesheim, Flurst. 772","800","2005-02-03",903367,7338,"Rhein-Pfalz",733806,"Lambsheim-Heßheim",1635,903,5559,616,1817.7024,49.5828461660968,8.29110285738014
"176","Heuchelheim 67259 Germany","E30873010003403410000000S00100002","Vestas Deutschland GmbH","V-80",2000,"29.12.2002",7338013,49.581253,8.29175,100,80,733806013,67259,"Heuchelheim","Fischerweg 0","2012","2002-12-27",2508602,7338,"Rhein-Pfalz",733806,"Lambsheim-Heßheim",1635,2509,5559,222,1190.72,49.5811708700115,8.29171857620385
"177","Heuchelheim 67259 Germany","E30254013000000000005231616306700","ENERCON GmbH","E-70 E4",2000,"21.04.2005",7338013,49.586063,8.28925,98,70,733806013,67259,"Heuchelheim","Gemarkung Heuchelheim, Flurst. 1985","2000","2005-05-03",2255677,7338,"Rhein-Pfalz",733806,"Lambsheim-Heßheim",1635,2256,5559,246,1289.4912,49.5859926858023,8.28913421708103
"178","Heuchelheim 67259 Germany","E30254011000000000005231616306700","ENERCON GmbH","Enercon E-70 E4",2000,"30.12.2004",7338013,49.586441,8.284324,98,70,733806013,67259,"Heuchelheim","Gemarkung Heuchelheim, Flurst. 2005","2000","2004-12-30",2255677,7338,"Rhein-Pfalz",733806,"Lambsheim-Heßheim",1635,2256,5559,246,1289.4912,49.5866099379925,8.28435090844061
"179","Heuchelheim 67259 Germany","E30254012000000000005231616306700","ENERCON GmbH","E-70 E4",2000,"13.05.2005",7338009,49.584225,8.290069,113,70,733806013,67259,"Heuchelheim","Gemarkung Großniedesheim, Flurst. 774/2","2000","2005-05-13",2355899,7338,"Rhein-Pfalz",733806,"Lambsheim-Heßheim",1635,2356,5559,236,1250.4512,49.5841553524073,8.29015024985155
"180","Heuchelheim 67259 Germany","E30254014000000000005231616306700","ENERCON GmbH","E-70 E 4",2000,"15.04.2005",7338013,49.58453,8.284287,98,70,733806013,67259,"Heuchelheim","Gemarkung Heuchelheim, Flurst. 2005","2000","2005-04-15",2255674,7338,"Rhein-Pfalz",733806,"Lambsheim-Heßheim",1635,2256,5559,246,1289.4912,49.5845156875902,8.28415180131904
"181","Hinterweiler 54570 Germany","E31238010000000000000042663209086","Südwind Borsig Energy GmbH","MD-70",1500,"14.06.2002",7233030,50.239936,6.769625,85,77,723301030,54570,"Hinterweiler","Auf dem Kissen 900 / 27","1500","2002-06-14",2901437,7233,"Vulkaneifel",723301,"Daun",2825,2901,9605,331,2617.2416,50.2398625362102,6.76970581975114
"182","Hinzert-Pölert 54421 Germany","E31238010000000000000044523800085","Nordex Energy GmbH","S70",1500,"25.09.2002",7235047,49.691152,6.89954,85,70,723501047,54421,"Hinzert-Pölert","WKA an der B 237 / 3 + 3/4","1500","2002-11-01",1786683,7235,"Trier-Saarburg",723501,"Hermeskeil",2675,1787,9095,509,2853.0432,49.6911964458161,6.89966328029349
"183","Hinzert-Pölert 54421 Germany","E31238010000000000000044523818897","Nordex Energy GmbH","S70",1500,"26.09.2002",7235047,49.694662,6.900628,85,70,723501047,54421,"Hinzert-Pölert","WKA an der B 237 / 3 + 3/4","1500","2002-11-01",1786683,7235,"Trier-Saarburg",723501,"Hermeskeil",2675,1787,9095,509,2853.0432,49.6945413404507,6.90056076146967
"184","Hinzert-Pölert 54421 Germany","E31238010000000000000044523818895","Nordex Energy GmbH","S70",1500,"25.09.2002",7235047,49.693306,6.896874,85,70,723501047,54421,"Hinzert-Pölert","WKA an der B 237 / 3 + 3/4","1500","2002-11-01",1786683,7235,"Trier-Saarburg",723501,"Hermeskeil",2675,1787,9095,509,2853.0432,49.6932614136735,6.89669419127188
"185","Hinzert-Pölert 54421 Germany","E31238010000000000000044523818896","Nordex Energy GmbH","S70",1500,"24.09.2002",7235047,49.691152,6.902226,85,70,723501047,54421,"Hinzert-Pölert","WKA an der B 237 / 3 + 3/4","1500","2002-11-01",1786683,7235,"Trier-Saarburg",723501,"Hermeskeil",2675,1787,9095,509,2853.0432,49.6911780062322,6.90206970607259
"186","Hisel 54646 Germany","E31238010000000000000060028100621",NA,NA,NA,NA,NA,NA,NA,NA,NA,723208502,54646,"Hisel","An der B 50 / 29","600","2005-01-25",832779,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,833,6375,765,2163.5968,49.9625431485437,6.37444865651336
"187","Hisel 54646 Germany","E31238010000000000000067358518954","ENERCON GmbH","E-40/6.44",600,"20.09.2005",7232021,49.96434,6.366736,65,44,723208502,54646,"Hisel","An der B 50 / 2/2","600","2005-09-20",714423,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,714,6375,893,2210.0544,49.9641926704891,6.36654657264181
"188","Hisel 54646 Germany","E31238010000000000000067358518955","ENERCON GmbH","E-40/6.44",600,"29.09.2005",7232021,49.96553,6.369426,65,44,723208502,54646,"Hisel","An der B 50 / 7","600","2005-09-29",714423,7232,"Eifelkreis Bitburg-Prüm",723208,"Bitburger Land",1875,714,6375,893,2210.0544,49.9654374863482,6.36938725545874
"189","Hochborn 55234 Germany","E32954010200000000003616500511201","Nordex Energy GmbH","Nordex N43 600 KW",600,"19.03.1999",7331011,49.73366,8.19942,77.5,43,733107011,55234,"Hochborn","Kloppberg *","3000","1999-03-01",3979649,7331,"Alzey-Worms",733107,"Wonnegau",2150,3980,7310,184,1300.032,49.7337574911092,8.1995959684734
"190","Hof 56472 Germany","E31102010000000000001274442500001","ENERCON GmbH","E-40",500,"19.09.1997",7143243,50.664279,8.010153,65,40,714301243,56472,"Hof","Flurstück( 77 )","500","1997-09-19",668466,7143,"Westerwald",714301,"Bad Marienberg",2350,668,7990,1196,2858.5088,50.6643781204135,8.01021871598221
"191","Hof 56472 Germany","E31102010000000000001274441700001","Vestas Deutschland GmbH","V39",500,"15.12.1994",7143243,50.6671,8.0304,53,39,714301243,56472,"Hof","Flurstück( 68 )","500","1994-12-12",676071,7143,"Westerwald",714301,"Bad Marienberg",2350,676,7990,1182,2855.3856,50.6670205868649,8.03038069263939
"192","Hof 56472 Germany","E31102010000000000001274448400001","Fuhrländer AG","Astos 100",100,"25.02.1992",7143243,50.669854,8.020838,33,21,714301243,56472,"Hof","Flurstück( 118 )","100","1993-02-25",73006,7143,"Westerwald",714301,"Bad Marienberg",2350,73,7990,10945,3090.7968,50.6698462325447,8.02070347895009
"193","Hof 56472 Germany","E31102010000000000001274439500001","ENERCON GmbH","E58",950,"03.12.2003",7143243,50.668215,8.032498,89,58,714301243,56472,"Hof","Flurstück( 64 )","950","2003-11-24",2398496,7143,"Westerwald",714301,"Bad Marienberg",2350,2398,7990,333,2183.1168,50.6682053195006,8.03237035727692
"194","Hof 56472 Germany","E31102010000000000001274448400002","Fuhrländer AG","Astos 100",100,"25.02.1993",7143243,50.670973,8.022326,33,21,714301243,56472,"Hof","Flurstück( 118 )","100","1993-02-25",73006,7143,"Westerwald",714301,"Bad Marienberg",2350,73,7990,10945,3090.7968,50.6711434422286,8.02243878356509
"195","Hof 56472 Germany","E31102010000000000001274449200001","ENERCON GmbH","E-40/5.40",500,"18.09.1997",7143243,50.6683,8.0301,65,40.3,714301243,56472,"Hof","Auf dem Schüwel / Flurstück( 118 + 120 )","500","1997-09-18",807690,7143,"Westerwald",714301,"Bad Marienberg",2350,808,7990,989,2803.8528,50.6683594954258,8.03003783299783
"196","Höhn 56462 Germany","E31102010000000000001279811800001","ENERCON GmbH","E-58/10.58",1000,"09.07.2004",7143242,50.6265,7.9964,70,58.6,714309242,56462,"Höhn","Flurstück( 41/2 )","1000","2004-07-09",1459338,7143,"Westerwald",714309,"Westerburg",2350,1459,7990,548,2549.7024,50.6264976680942,7.99625597568434
"197","Holzhausen 56357 Germany","E31495010000000000060208038900000",NA,NA,NA,NA,NA,NA,NA,NA,NA,714107060,56357,"Holzhausen","An der Bäderstr. 0","600","1997-11-01",599583,7141,"Rhein-Lahn",714107,"Nastätten",3700,600,12580,2097,4676.992,50.2187952640943,7.91054422514258
"198","Holzheim 65558 Germany","E31495010000000000060208039500000",NA,NA,NA,NA,NA,NA,NA,NA,NA,714103061,65558,"Holzheim","Alte Str. #","600","2000-04-27",501546,7141,"Rhein-Lahn",714103,"Diez",3700,502,12580,2506,4715.2512,50.3546316110566,8.04808767707327
"199","Homberg 56479 Germany","E31102010000000000002000196200006","Fuhrländer AG","FL MD 77",1500,"17.12.2004",7143302,50.65025,8.117819,100,77,714306244,56479,"Homberg","Flurstück( 3 )","1500","2004-12-17",2819229,7143,"Westerwald",714306,"Rennerod",2350,2819,7990,283,2018.7584,50.6503419234407,8.11788405483203
"200","Hoppstädten-Weiersbach 55768 Germany","E31280100000000340000005946201197","ENERCON GmbH","Enercon 40",500,"19.12.1996",7134042,49.624862,7.203325,NA,40.3,713402042,55768,"Hoppstädten-Weiersbach","Windpark 900Z","500","1996-12-01",580806,7134,"Birkenfeld",713402,"Birkefeld",1850,581,6290,1083,2228.7936,49.6250341077753,7.2031766181509
"201","Hoppstädten-Weiersbach 55768 Germany","E31280100000000340000005946222337","ENERCON GmbH","Enercon 40",500,"19.12.1996",7134042,49.623569,7.204228,65,40.3,713402042,55768,"Hoppstädten-Weiersbach","Windpark 900Z","500","1996-12-01",580806,7134,"Birkenfeld",713402,"Birkefeld",1850,581,6290,1083,2228.7936,49.6236344565587,7.20415608834761
"202","Hoppstädten-Weiersbach 55768 Germany","E31280100000000340000005946222338",NA,NA,NA,NA,NA,NA,NA,NA,NA,713402042,55768,"Hoppstädten-Weiersbach","Windpark 900Z","500","1996-12-01",580806,7134,"Birkenfeld",713402,"Birkefeld",1850,581,6290,1083,2228.7936,49.6139458102622,7.18367460763262
"204","Hütten 54673 Germany","E31238010000000000000046594100038","ENERCON GmbH","E40  6.44",600,"20.12.2002",7232056,50.018301,6.248464,78,44,723205056,54673,"Hütten","Dorfstraße 900Z / 89/1","600","2002-12-20",1019758,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,1020,6375,625,2090.592,50.0181050459177,6.24832246697222
"205","Hütten 54673 Germany","E31238010000020170000008995119010","ENERCON GmbH","E-40 / 5.40",500,"06.09.1994",7232056,50.006996,6.258603,42,40,723205056,54673,"Hütten","Dorfstr. 900Y / 1/1","500","1994-09-06",643579,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,644,6375,990,2237.3824,50.0070493519697,6.25844346694636
"206","Hütten 54673 Germany","E31238010000020170000008995119012","ENERCON GmbH","E-40 / 5.40",500,"14.06.1994",7232056,50.008397,6.263284,42,40,723205056,54673,"Hütten","Dorfstr. 900Y / 47/10","500","1994-06-14",643579,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,644,6375,990,2237.3824,50.0082976309967,6.26316131706751
"207","Ilbesheim 67294 Germany","E30254010000000000005230837706693","ENERCON GmbH","E 40",500,"05.02.1998",7333031,49.679773,8.076552,65,40,733304031,67294,"Ilbesheim","Gemarkung Rittersheim, Flurst. 312","500","1998-02-05",725465,7333,"Donnersbergkreis",733304,"Kirchheimbolanden",2475,725,8415,1161,3002.176,49.6796600575996,8.07656892067701
"208","Kalenborn-Scheuern 54570 Germany","E31238010000000000000039293201236",NA,NA,NA,NA,NA,NA,NA,NA,NA,723306036,54570,"Kalenborn-Scheuern","Alscheid 900 / 29","600","2001-10-25",704339,7233,"Vulkaneifel",723306,"Geroldstein",2825,704,9605,1364,3474.9504,50.2581293992022,6.60219630967453
"209","Katzenelnbogen 56368 Germany","E31495010000000000060208042700000",NA,NA,NA,NA,NA,NA,NA,NA,NA,714111068,56368,"Katzenelnbogen","Auf dem Rödelsberg #","150","1991-12-29",92736,7141,"Rhein-Lahn",714111,"Aar-Einrich",3700,93,12580,13527,4874.9248,50.276568263626,7.95940769964571
"210","Katzwinkel 54552 Germany","E31238010000000000000041397901547","DeWind GmbH","D6",1250,"21.01.2002",7233037,50.264167,6.898333,91.5,62,723304037,54552,"Katzwinkel","Auf dem Hügel  / 2/3","1250","2002-01-21",1598922,7233,"Vulkaneifel",723304,"Kelberg",2825,1599,9605,601,3125.5424,50.2642010117922,6.89828576206806
"211","Kelberg Vulkaneifel Germany","E31238010000010212000000177918047",NA,NA,NA,NA,NA,NA,NA,NA,NA,723304010,54552,"Boxberg","L410 / 46","1500","2001-03-15",1948232,7233,"Vulkaneifel",723304,"Kelberg",2825,1948,9605,493,2989.2928,50.2865826298119,6.91844263965485
"212","Kerzenheim 67304 Germany","E30254010000000000005231615906699",NA,NA,NA,NA,NA,NA,NA,NA,NA,733302038,67304,"Kerzenheim","Gemarkung Kerzenheim, Flurst. 320/4","1500","2003-08-20",1842254,7333,"Donnersbergkreis",733302,"Eisenberg",2475,1842,8415,457,2566.0992,49.5765715832191,8.05985624598729
"213","Kerzenheim 67304 Germany","E30254010000000000005231607403543","Vestas Deutschland GmbH","V66",1650,"19.10.2000",7333038,49.58767,8.079197,67,66,733302038,67304,"Kerzenheim","Gemarkung Kerzenheim, Flurst. 346","1650","2000-10-19",1396482,7333,"Donnersbergkreis",733302,"Eisenberg",2475,1396,8415,603,2740.2176,49.587496494945,8.07925082590788
"214","Kindenheim 67271 Germany","E30254010000000000005230788607050",NA,NA,NA,NA,NA,NA,NA,NA,NA,733207029,67271,"Kindenheim","Gemarkung Kindenheim, Flurstück 2820","1800","2003-07-30",2518436,7332,"Bad Dürkheim",733207,"Leiningerland",2075,2518,7055,280,1771.2448,49.6109113032684,8.16397930185821
"215","Kindenheim 67271 Germany","E30254010000000000005230788601720",NA,NA,NA,NA,NA,NA,NA,NA,NA,733207029,67271,"Kindenheim","Gemarkung Kindenheim, Flurstück 2624","1800","2003-07-17",2518435,7332,"Bad Dürkheim",733207,"Leiningerland",2075,2518,7055,280,1771.2448,49.6110974581344,8.16425251266498
"216","Kindenheim 67271 Germany","E30254010000000000005230788601719",NA,NA,NA,NA,NA,NA,NA,NA,NA,733207029,67271,"Kindenheim","Gemarkung Kindenheim, Flurstück 2800","1800","2003-07-24",2518435,7332,"Bad Dürkheim",733207,"Leiningerland",2075,2518,7055,280,1771.2448,49.6110680949253,8.16407125330566
"217","Kirchweiler 54570 Germany","E31238010000000000000043151618058","Enron Wind GmbH","GE 1,5sl",1500,"27.06.2002",7233075,50.238897,6.826161,85,77,723301039,54570,"Kirchweiler","Auf dem Kissen 900 / 1/1","1500","2002-06-27",2450069,7233,"Vulkaneifel",723301,"Daun",2825,2450,9605,392,2793.312,50.2387680625363,6.8262942751154
"218","Kirchweiler 54570 Germany","E31238010000000000000043151609087",NA,NA,NA,NA,NA,NA,NA,NA,NA,723301039,54570,"Kirchweiler","Auf dem Kissen 900 / 1/1","1500","2002-06-27",2450069,7233,"Vulkaneifel",723301,"Daun",2825,2450,9605,392,2793.312,50.2303788049046,6.74510834980323
"219","Kirchweiler 54570 Germany","E31238010000000000000042663218057",NA,NA,NA,NA,NA,NA,NA,NA,NA,723301039,54570,"Kirchweiler","Auf dem Kissen 900 / 29/3","1500","2002-06-12",2901438,7233,"Vulkaneifel",723301,"Daun",2825,2901,9605,331,2617.2416,50.230283961623,6.74492467747783
"220","Kirchweiler 54570 Germany","E31238010000000000000042663212307",NA,NA,NA,NA,NA,NA,NA,NA,NA,723301039,54570,"Kirchweiler","Auf dem Kissen 900 / 2/1","300","2003-11-11",429597,7233,"Vulkaneifel",723301,"Daun",2825,430,9605,2234,3581.92,50.230118690427,6.74479656675137
"221","Kirf 54441 Germany","E31238010000000000000059508601130","GE Wind Energy GmbH","GE1.5sl",1500,"22.12.2004",7235062,49.570858,6.477665,85,77,723508062,54441,"Kirf","Ägidiusstraße 900Z / 2","1500","2004-12-22",3032203,7235,"Trier-Saarburg",723508,"Saarburg-Kell",2675,3032,9095,300,2366.9952,49.5709515759946,6.47760406700425
"222","Kleinich 54483 Germany","E31238010000020170000000172817172",NA,NA,NA,NA,NA,NA,NA,NA,NA,723101070,54483,"Kleinich","Ilsbach 900","1000","1999-03-10",1451143,7231,"Bernkastel-Wittlich",723101,"Bernkastel-Kues",2550,1451,8670,598,2818.2976,49.8932780526988,7.18647296995909
"223","Kleinlangenfeld 54597 Germany","E31238010000000000000040056000033","ENERCON GmbH","E40/6.44",600,"10.12.2001",7232250,50.2806,6.4859,65,44,723206250,54597,"Kleinlangenfeld","In der Hill 900 / 15","600","2001-12-10",789602,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,790,6375,807,2180.384,50.2804978510641,6.48574051315719
"224","Kleinlangenfeld 54597 Germany","E31238010000000000000040057421833",NA,NA,NA,NA,NA,NA,NA,NA,NA,723206250,54597,"Kleinlangenfeld","In der Hill 900","600","2001-12-12",892511,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,893,6375,714,2140.1728,50.2692834142676,6.4785511492464
"225","Kleinlangenfeld 54597 Germany","E31238010000000000000040057401237",NA,NA,NA,NA,NA,NA,NA,NA,NA,723206250,54597,"Kleinlangenfeld","In der Hill 900","600","2001-12-07",892511,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,893,6375,714,2140.1728,50.2694369690664,6.47852992517467
"226","Kleinlangenfeld 54597 Germany","E31238010000000000000040057421832",NA,NA,NA,NA,NA,NA,NA,NA,NA,723206250,54597,"Kleinlangenfeld","In der Hill 900","600","2001-12-11",892511,7232,"Eifelkreis Bitburg-Prüm",723206,"Prüm",1875,893,6375,714,2140.1728,50.2696049310736,6.47850315726356
"227","Konken 66871 Germany","E30254010000000000005230797601807",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1071","850","2002-02-01",1134210,7336,"Kusel",733610,"Kusel-Altenglan",2700,1134,9180,810,3141.1584,49.5085842640664,7.35415115305228
"228","Konken 66871 Germany","E30254010000000000005230797606681",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1069","850","2002-02-01",1134204,7336,"Kusel",733610,"Kusel-Altenglan",2700,1134,9180,810,3141.1584,49.5086989873486,7.35419442141499
"229","Konken 66871 Germany","E30254010000000000005230797601805",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1074","850","2002-02-01",1134210,7336,"Kusel",733610,"Kusel-Altenglan",2700,1134,9180,810,3141.1584,49.5084868458472,7.35401860680185
"230","Konken 66871 Germany","E30254010000000000005230797601806",NA,NA,NA,NA,NA,NA,NA,NA,NA,733610052,66871,"Konken","Gemarkung Konken, Flurst. 1073","850","2002-02-01",1134210,7336,"Kusel",733610,"Kusel-Altenglan",2700,1134,9180,810,3141.1584,49.5085371001361,7.35410018274445
"232","Koxhausen 54673 Germany","E31238010000020170000009043109633","ENERCON GmbH","E-40 / 5.40",500,"25.03.1994",7232068,50.003002,6.247283,42,40,723205068,54673,"Koxhausen","Friedbachstr. 900Z","500","1994-03-25",641234,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,641,6375,995,2238.5536,50.0029222596999,6.24726145273409
"233","Koxhausen 54673 Germany","E31238010000020170000008995100041","ENERCON GmbH","E-40 / 5.40",500,"07.09.1994",7232068,50.005499,6.252443,42,40,723205068,54673,"Koxhausen","Dorfstr. 900 Y","500","1994-09-07",643579,7232,"Eifelkreis Bitburg-Prüm",723205,"Südeifel",1875,644,6375,990,2237.3824,50.0053401871077,6.25247937277884
