"","adress","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung","lat_wgs84","lon_wgs84"
"54","Dichtelbach 55494 Germany","E31238010000010120000008529201417","ENERCON GmbH","E-66/15.66",1500,"01.08.1999",7133023,49.994312,7.727852,67,66,714008027,55494,"Dichtelbach","Auf dem Kandrich 900Z / 3/3","1500","1999-08-01",2314691,7140,"Rhein-Hundsrück",714008,"Simmern-Rheinböllen",2450,2315,8330,360,2348.256,49.9944618606594,7.72793803016511
"55","Dichtelbach 55494 Germany","E31238010000010120000008529219428","ENERCON GmbH","E-70 E4",2000,"18.10.2005",7133023,49.996305,7.730813,113.5,71,714008027,55494,"Dichtelbach","Auf dem Kandrich 900Z","2000","2005-10-19",4470863,7140,"Rhein-Hundsrück",714008,"Simmern-Rheinböllen",2450,4471,8330,186,1506.5536,49.9961341329848,7.73093202739797
"56","Dichtelbach 55494 Germany","E31238010000010120000008529201418","ENERCON GmbH","E-66/18.70",1800,"01.11.2000",7133023,49.993678,7.729912,65,70,714008027,55494,"Dichtelbach","Auf dem Kandrich 900Z / 3/3","1800","2000-11-01",2323194,7140,"Rhein-Hundsrück",714008,"Simmern-Rheinböllen",2450,2323,8330,359,2345.1328,49.9935778950072,7.72977082938774
"57","Dienstweiler 55765 Germany","E31280100000000000000000331501459","Vestas Deutschland GmbH","V90",2000,"11.11.2004",7134020,49.638191,7.209721,105,90,713402020,55765,"Dienstweiler","Windpark an der L 170","2000","2004-11-11",3349326,7134,"Birkenfeld",713402,"Birkefeld",1850,3349,6290,188,1148.1664,49.6380535168632,7.20975512493048
"58","Dienstweiler 55765 Germany","E31280100000000000000000331513065","Vestas Deutschland GmbH","V90",2000,"12.11.2004",7134020,49.64136,7.214653,105,90,713402020,55765,"Dienstweiler","Windpark an der L 170","2000","2004-11-12",3349326,7134,"Birkenfeld",713402,"Birkefeld",1850,3349,6290,188,1148.1664,49.6413535290073,7.21462277270767
"59","Dienstweiler 55765 Germany","E31280100000000000000000331513066","Vestas Deutschland GmbH","V90",2000,"20.10.2004",7134020,49.642184,7.205446,105,90,713402020,55765,"Dienstweiler","Windpark an der L 170","2000","2004-10-20",3349326,7134,"Birkenfeld",713402,"Birkefeld",1850,3349,6290,188,1148.1664,49.6420801524844,7.20538303831714
"60","Dienstweiler 55765 Germany","E31280100000000000000000331513067","Vestas Deutschland GmbH","V90",2000,"16.11.2004",7134020,49.642056,7.210463,105,90,713402020,55765,"Dienstweiler","Windpark an der L 170","2000","2004-11-16",3349326,7134,"Birkenfeld",713402,"Birkefeld",1850,3349,6290,188,1148.1664,49.6420121700045,7.2105623839277
"61","Düngenheim 56761 Germany","E31238010000000000000039328709148",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502023,56761,"Düngenheim","Töpferstr. 900 / 14","600","2001-10-08",673113,7135,"Cochem-Zell",713502,"Kaisersesch",2275,673,7735,1149,2757.0048,50.258987247256,7.16918692148151
"62","Düngenheim 56761 Germany","E31238010000000000000039328717996",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502023,56761,"Düngenheim","Töpferstr. 900 / 92","600","2001-10-04",673113,7135,"Cochem-Zell",713502,"Kaisersesch",2275,673,7735,1149,2757.0048,50.2589554345759,7.16915402536933
"63","Düngenheim 56761 Germany","E31238010000000000000039328717997",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502023,56761,"Düngenheim","Töpferstr. 900 / 92","600","2001-09-27",673113,7135,"Cochem-Zell",713502,"Kaisersesch",2275,673,7735,1149,2757.0048,50.2588465907497,7.16905286908458
"64","Düngenheim 56761 Germany","E31238010000000000000039328717995",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502023,56761,"Düngenheim","Töpferstr. 900 / 14","600","2001-10-09",673113,7135,"Cochem-Zell",713502,"Kaisersesch",2275,673,7735,1149,2757.0048,50.2586738758593,7.16902331314283
"65","Eimsheim 55278 Germany","E32954010200000000003613500211219","ENERCON GmbH","E-58",1000,"20.12.2002",7339015,49.784283,8.275704,70,58,733907015,55278,"Eimsheim","Flur 13 u. Flur 14 u. Flur 15","5800","2002-07-19",8349056,7339,"Mainz-Bingen",733907,"Rhein-Selz",2300,8349,7820,94,-206.5216,49.7844424126687,8.27573404488312
"66","Eppenberg 56759 Germany","E31238010000050311000000250518050","ENERCON GmbH","E 40",500,"19.06.1997",7135026,50.24278,7.068274,65,40,713502026,56759,"Eppenberg","Zungerhof 900 / 15 + 16","500","1997-06-19",737113,7135,"Cochem-Zell",713502,"Kaisersesch",2275,737,7735,1050,2732.0192,50.2426279777836,7.06819366130836
"67","Eppenberg 56759 Germany","E31238010000050311000000250509150","ENERCON GmbH","E 40",500,"19.06.1997",7135026,50.24278,7.068274,65,40,713502026,56759,"Eppenberg","Zungerhof 900 / 15 + 16","500","1997-06-19",737113,7135,"Cochem-Zell",713502,"Kaisersesch",2275,737,7735,1050,2732.0192,50.2427676371963,7.06839536369161
"68","Eppenrod 65558 Germany","E31495010000000000060208047600000","ENERCON GmbH","E 40-6.44",600,"15.04.2002",7141038,50.395581,7.9332,78,44,714103038,65558,"Eppenrod","Hirschberger Str. #","3900","2001-12-17",4380374,7141,"Rhein-Lahn",714103,"Diez",3700,4380,12580,287,3201.28,50.3957270735485,7.93333558485582
"69","Ettinghausen 56244 Germany","E31102010000000000001273901400001","Fuhrländer AG","FL 250",250,"17.01.1995",7143220,50.519482,7.882494,41.5,NA,714308220,56244,"Ettinghausen","Auf dem Küppel / Flurstück( 1368 )","250","1995-01-16",202306,7143,"Westerwald",714308,"Wallmerod",2350,202,7990,3955,3040.4352,50.5195921118505,7.88265565390248
"70","Eulgem 56761 Germany","E31238010000000000000052924311378",NA,NA,NA,NA,NA,NA,NA,NA,NA,713502028,56761,"Eulgem","Hambucher Str. 900Z / 87","1500","2003-12-11",2150681,7135,"Cochem-Zell",713502,"Kaisersesch",2275,2151,7735,360,2179.9936,50.2396400209163,7.17561558052229
